short_name,ticker,company_id,country,sector,sub_industry
ALLIED COOPERATI,8150,ACIG AB Equity,SA,Financials,Property & Casualty Insurance
ALMARAI CO,2280,ALMARAI AB Equity,SA,Consumer Staples,Packaged Foods & Meats
ALMAWARID MANPOW,1833,ALMAWARI AB Equity,SA,Industrials,Human Resource & Employment Services
AL-MAZAYA HLDG,MAZAYA,MAZAYA KK Equity,KW,Real Estate,Diversified Real Estate Activities
ALMOOSA HEALTH C,4002,ALMOOSA AB Equity,SA,Health Care,Health Care Facilities
ALMUNAJEM FOODS,4162,ALMUNAJE AB Equity,SA,Consumer Staples,Food Distributors
AL-OMRAN INDUSTR,4141,ALOMRAN AB Equity,SA,Industrials,Building Products
ALSAIF STORES FO,4192,ALSAIF AB Equity,SA,Consumer Discretionary,Homefurnishing Retail
ALUJAIN CORP,2170,ALCO AB Equity,SA,Materials,Commodity Chemicals
ALUMINIUM BAHRAI,ALBH,ALBH BI Equity,BH,Materials,Aluminum
AMANA COOPERATIV,8310,AMANA AB Equity,SA,Financials,Multi-line Insurance
AMANAT HOLDINGS,AMANAT,AMANAT DB Equity,AE,Financials,Multi-Sector Holdings
